filename,left_eye_area,right_eye_area,eye_symmetry_diff_percent,EFR,ESI,left_ear_uprightness_deg,right_ear_uprightness_deg,avg_ear_uprightness_deg,fWHR
fox13,0.004883,0.004259,12.773223,0.022924,1.288786,43.730116,43.268626,43.499371,0.937125
cat16,0.010176,0.011366,10.470917,0.053568,1.151164,47.561652,45.846765,46.704209,0.959276
fox12,0.007771,0.006210,20.077793,0.028801,1.171980,45.945360,44.504922,45.225141,0.976455
cat3,0.014492,0.014915,2.838756,0.058839,1.073819,45.430155,47.645150,46.537653,0.899456
fox3,0.004987,0.004712,5.507411,0.022275,1.157720,50.330945,54.584308,52.457626,1.039890
fox2,0.006208,0.006335,2.002690,0.025342,1.207668,53.312816,56.182757,54.747786,1.102191
fox11,0.007416,0.006397,13.735289,0.029855,1.143868,41.797773,42.077845,41.937809,0.860186
cat2,0.008742,0.008463,3.196531,0.047092,1.164857,48.088234,49.064843,48.576538,0.974482
cat5,0.010603,0.011019,3.774296,0.051609,1.048462,44.786454,43.836723,44.311589,0.866574
fox17,0.005751,0.007072,18.688057,0.027582,1.386925,57.053973,55.429348,56.241661,1.153846
